2to3-3.12	compat-python3-rolling-core
bench-double-vlen4-avx2-cos	glibc-bench
bench-double-vlen4-avx2-cosh	glibc-bench
bench-double-vlen4-avx2-erf	glibc-bench
bench-double-vlen4-avx2-erfc	glibc-bench
bench-double-vlen4-avx2-exp	glibc-bench
bench-double-vlen4-avx2-exp10	glibc-bench
bench-double-vlen4-avx2-exp2	glibc-bench
bench-double-vlen4-avx2-expm1	glibc-bench
bench-double-vlen4-avx2-hypot	glibc-bench
bench-double-vlen4-avx2-log	glibc-bench
bench-double-vlen4-avx2-log10	glibc-bench
bench-double-vlen4-avx2-log1p	glibc-bench
bench-double-vlen4-avx2-log2	glibc-bench
bench-double-vlen4-avx2-pow	glibc-bench
bench-double-vlen4-avx2-sin	glibc-bench
bench-double-vlen4-avx2-sinh	glibc-bench
bench-double-vlen4-avx2-tan	glibc-bench
bench-double-vlen4-avx2-tanh	glibc-bench
bench-double-vlen4-cbrt	glibc-bench
bench-double-vlen4-cos	glibc-bench
bench-double-vlen4-cosh	glibc-bench
bench-double-vlen4-erf	glibc-bench
bench-double-vlen4-erfc	glibc-bench
bench-double-vlen4-exp	glibc-bench
bench-double-vlen4-exp10	glibc-bench
bench-double-vlen4-exp2	glibc-bench
bench-double-vlen4-expm1	glibc-bench
bench-double-vlen4-hypot	glibc-bench
bench-double-vlen4-log	glibc-bench
bench-double-vlen4-log10	glibc-bench
bench-double-vlen4-log1p	glibc-bench
bench-double-vlen4-log2	glibc-bench
bench-double-vlen4-pow	glibc-bench
bench-double-vlen4-sin	glibc-bench
bench-double-vlen4-sinh	glibc-bench
bench-double-vlen4-tan	glibc-bench
bench-double-vlen4-tanh	glibc-bench
bench-double-vlen8-acos	glibc-bench
bench-double-vlen8-acosh	glibc-bench
bench-double-vlen8-asin	glibc-bench
bench-double-vlen8-asinh	glibc-bench
bench-double-vlen8-atan	glibc-bench
bench-double-vlen8-atan2	glibc-bench
bench-double-vlen8-atanh	glibc-bench
bench-double-vlen8-cbrt	glibc-bench
bench-double-vlen8-cos	glibc-bench
bench-double-vlen8-cosh	glibc-bench
bench-double-vlen8-erf	glibc-bench
bench-double-vlen8-erfc	glibc-bench
bench-double-vlen8-exp	glibc-bench
bench-double-vlen8-exp10	glibc-bench
bench-double-vlen8-exp2	glibc-bench
bench-double-vlen8-expm1	glibc-bench
bench-double-vlen8-hypot	glibc-bench
bench-double-vlen8-log	glibc-bench
bench-double-vlen8-log10	glibc-bench
bench-double-vlen8-log1p	glibc-bench
bench-double-vlen8-log2	glibc-bench
bench-double-vlen8-pow	glibc-bench
bench-double-vlen8-sin	glibc-bench
bench-double-vlen8-sinh	glibc-bench
bench-double-vlen8-tan	glibc-bench
bench-double-vlen8-tanh	glibc-bench
bench-erf	glibc-bench
bench-erfc	glibc-bench
bench-erfcf	glibc-bench
bench-erff	glibc-bench
bench-exp	glibc-bench
bench-exp10	glibc-bench
bench-exp10f	glibc-bench
bench-exp10m1f	glibc-bench
